ICD O 3 topogrophy code (modified),ICD O 3 topography code,SNOMED CT CODES,Region (level 1),Organ system (Level 2),Broad Site (Level 3),Site (Level 4),
C06.2,C06.2,85816001,Head Neck,Oral cavity,OTHER AND UNSPECIFIED PARTS OF MOUTH,Retromolar trigone,Retromolar trigone
C06.2.L,C06.2.,,Head Neck,Oral cavity,OTHER AND UNSPECIFIED PARTS OF MOUTH,Retromolar area-Left,#N/A
C06.2.L,C06.2.,85816001,Head Neck,Oral cavity,OTHER AND UNSPECIFIED PARTS OF MOUTH,Retromolar triangle-Left,#N/A
C06.2.L,C06.2.,85816001,Head Neck,Oral cavity,OTHER AND UNSPECIFIED PARTS OF MOUTH,Retromolar trigone-Left,#N/A
C06.2.R,C06.2.,,Head Neck,Oral cavity,OTHER AND UNSPECIFIED PARTS OF MOUTH,Retromolar area-Right,#N/A
C06.2.R,C06.2.,85816001,Head Neck,Oral cavity,OTHER AND UNSPECIFIED PARTS OF MOUTH,Retromolar triangle-Right,#N/A
C06.2.R,C06.2.,85816001,Head Neck,Oral cavity,OTHER AND UNSPECIFIED PARTS OF MOUTH,Retromolar trigone-Right,#N/A
C06.8,C06.8,,Head Neck,Oral cavity,OTHER AND UNSPECIFIED PARTS OF MOUTH,Overlapping lesion of other and unspecified parts of mouth,#N/A
C06.8,C06.8,,Head Neck,Oral cavity,OTHER AND UNSPECIFIED PARTS OF MOUTH,Overlapping regions of other and unspecified parts of mouth,#N/A
C06.9,C06.9,21082005,Head Neck,Oral cavity,OTHER AND UNSPECIFIED PARTS OF MOUTH,"Mouth, NOS",#N/A
C06.9,C06.9,74262004,Head Neck,Oral cavity,OTHER AND UNSPECIFIED PARTS OF MOUTH,Buccal cavity,Buccal cavity
C06.9,C06.9,87626005,Head Neck,Oral cavity,OTHER AND UNSPECIFIED PARTS OF MOUTH,"Minor salivary gland, NOS",#N/A
C06.9,C06.9,74262004,Head Neck,Oral cavity,OTHER AND UNSPECIFIED PARTS OF MOUTH,Oral cavity,Oral cavity
C06.9,C06.9,113277000,Head Neck,Oral cavity,OTHER AND UNSPECIFIED PARTS OF MOUTH,Oral mucosa,Oral mucosa
C06.9.L,C06.9.,74262004,Head Neck,Oral cavity,OTHER AND UNSPECIFIED PARTS OF MOUTH,Buccal cavity-Left,#N/A
C06.9.R,C06.9.,74262004,Head Neck,Oral cavity,OTHER AND UNSPECIFIED PARTS OF MOUTH,Buccal cavity-Right,#N/A
C07.9,C07.9,45289007,Head Neck,Salivary gland,PAROTID GLAND,Parotid gland,Parotid gland
C07.9,C07.9,,Head Neck,Salivary gland,PAROTID GLAND,Parotid gland duct,#N/A
C07.9,C07.9,45289007,Head Neck,Salivary gland,PAROTID GLAND,"Parotid, NOS",#N/A
C07.9,C07.9,,Head Neck,Salivary gland,PAROTID GLAND,Stensen duct,#N/A
C07.9.L,C07.9.,45289007,Head Neck,Salivary gland,PAROTID GLAND,Parotid gland-Left,#N/A
C07.9.L,C07.9.,,Head Neck,Salivary gland,PAROTID GLAND,Parotid gland duct-Left,#N/A
C07.9.L,C07.9.,45289007,Head Neck,Salivary gland,PAROTID GLAND,"Parotid, NOS-Left",#N/A
C07.9.L,C07.9.,,Head Neck,Salivary gland,PAROTID GLAND,Stensen duct-Left,#N/A
C07.9.R,C07.9.,45289007,Head Neck,Salivary gland,PAROTID GLAND,Parotid gland-Right,#N/A
C07.9.R,C07.9.,,Head Neck,Salivary gland,PAROTID GLAND,Parotid gland duct-Right,#N/A
C07.9.R,C07.9.,45289007,Head Neck,Salivary gland,PAROTID GLAND,"Parotid, NOS-Right",#N/A
C07.9.R,C07.9.,,Head Neck,Salivary gland,PAROTID GLAND,Stensen duct-Right,#N/A
C08.0,C08.0,54019009,Head Neck,Salivary gland,OTHER AND UNSPECIFIED MAJOR SALIVARY GLANDS,Submandibular gland,Submandibular gland
C08.0,C08.0,54019009,Head Neck,Salivary gland,OTHER AND UNSPECIFIED MAJOR SALIVARY GLANDS,Submaxillary gland,Submaxillary gland
C08.0,C08.0,,Head Neck,Salivary gland,OTHER AND UNSPECIFIED MAJOR SALIVARY GLANDS,Submaxillary gland duct,#N/A
C08.0,C08.0,,Head Neck,Salivary gland,OTHER AND UNSPECIFIED MAJOR SALIVARY GLANDS,Wharton duct,#N/A
C08.0.L,C08.0.,54019009,Head Neck,Salivary gland,OTHER AND UNSPECIFIED MAJOR SALIVARY GLANDS,Submandibular gland-Left,#N/A
C08.0.L,C08.0.,,Head Neck,Salivary gland,OTHER AND UNSPECIFIED MAJOR SALIVARY GLANDS,Submaxillary gland duct-Left,#N/A
C08.0.L,C08.0.,54019009,Head Neck,Salivary gland,OTHER AND UNSPECIFIED MAJOR SALIVARY GLANDS,Submaxillary gland-Left,#N/A
C08.0.L,C08.0.,,Head Neck,Salivary gland,OTHER AND UNSPECIFIED MAJOR SALIVARY GLANDS,Wharton duct-Left,#N/A
C08.0.R,C08.0.,54019009,Head Neck,Salivary gland,OTHER AND UNSPECIFIED MAJOR SALIVARY GLANDS,Submandibular gland-Right,#N/A
C08.0.R,C08.0.,,Head Neck,Salivary gland,OTHER AND UNSPECIFIED MAJOR SALIVARY GLANDS,Submaxillary gland duct-Right,#N/A
C08.0.R,C08.0.,54019009,Head Neck,Salivary gland,OTHER AND UNSPECIFIED MAJOR SALIVARY GLANDS,Submaxillary gland-Right,#N/A
C08.0.R,C08.0.,,Head Neck,Salivary gland,OTHER AND UNSPECIFIED MAJOR SALIVARY GLANDS,Wharton duct-Right,#N/A
C08.1,C08.1,88481005,Head Neck,Salivary gland,OTHER AND UNSPECIFIED MAJOR SALIVARY GLANDS,Sublingual gland,Sublingual gland
C08.1,C08.1,,Head Neck,Salivary gland,OTHER AND UNSPECIFIED MAJOR SALIVARY GLANDS,Sublingual gland duct,#N/A
C08.8,C08.8,,Head Neck,Salivary gland,OTHER AND UNSPECIFIED MAJOR SALIVARY GLANDS,Overlapping lesion of major salivary glands,#N/A
C08.8,C08.8,,Head Neck,Salivary gland,OTHER AND UNSPECIFIED MAJOR SALIVARY GLANDS,Overlapping regions of major salivary glands,#N/A
C08.9,C08.9,75535001,Head Neck,Salivary gland,OTHER AND UNSPECIFIED MAJOR SALIVARY GLANDS,"Major salivary gland, NOS",#N/A
C08.9,C08.9,75535001,Head Neck,Salivary gland,OTHER AND UNSPECIFIED MAJOR SALIVARY GLANDS,"Salivary gland, NOS",#N/A
C09.0,C09.0,32163006,Head Neck,Pharynx,TONSIL,Tonsillar fossa,Tonsillar fossa
C09.0.L,C09.0.,32163006,Head Neck,Pharynx,TONSIL,Tonsillar fossa-Left,#N/A
C09.0.R,C09.0.,32163006,Head Neck,Pharynx,TONSIL,Tonsillar fossa-Right,#N/A
C09.1,C09.1,21294006,Head Neck,Pharynx,TONSIL,Tonsillar pillar,Tonsillar pillar
C09.1,C09.1,,Head Neck,Pharynx,TONSIL,Faucial pillar,#N/A
C09.1,C09.1,276958001,Head Neck,Pharynx,TONSIL,Glossopalatine fold,Glossopalatine fold
C09.1.L,C09.1.,21294006,Head Neck,Pharynx,TONSIL,Tonsillar pillar-Left,#N/A
C09.1.L,C09.1.,,Head Neck,Pharynx,TONSIL,Faucial pillar-Left,#N/A
C09.1.L,C09.1.,276958001,Head Neck,Pharynx,TONSIL,Glossopalatine fold-Left,#N/A
C09.1.R,C09.1.,21294006,Head Neck,Pharynx,TONSIL,Tonsillar pillar-Right,#N/A
C09.1.R,C09.1.,,Head Neck,Pharynx,TONSIL,Faucial pillar-Right,#N/A
C09.1.R,C09.1.,276958001,Head Neck,Pharynx,TONSIL,Glossopalatine fold-Right,#N/A
C09.8,C09.8,,Head Neck,Pharynx,TONSIL,Overlapping lesion of tonsil,#N/A
C09.8,C09.8,,Head Neck,Pharynx,TONSIL,Overlapping regions of tonsil,#N/A
C09.8.L,C09.8.,,Head Neck,Pharynx,TONSIL,Overlapping lesion of tonsil-Left,#N/A
C09.8.L,C09.8.,,Head Neck,Pharynx,TONSIL,Overlapping regions of tonsil-Left,#N/A
C09.8.R,C09.8.,,Head Neck,Pharynx,TONSIL,Overlapping lesion of tonsil-Right,#N/A
C09.8.R,C09.8.,,Head Neck,Pharynx,TONSIL,Overlapping regions of tonsil-Right,#N/A
C09.9,C09.9,75573002,Head Neck,Pharynx,TONSIL,"Tonsil, NOS",#N/A
C09.9,C09.9,75573002,Head Neck,Pharynx,TONSIL,Faucial tonsil,Faucial tonsil
C09.9,C09.9,75573002,Head Neck,Pharynx,TONSIL,Palatine tonsil,Palatine tonsil
C09.9.L,C09.9.,75573002,Head Neck,Pharynx,TONSIL,"Tonsil, NOS-Left",#N/A
C09.9.L,C09.9.,75573002,Head Neck,Pharynx,TONSIL,Faucial tonsil-Left,#N/A
C09.9.L,C09.9.,75573002,Head Neck,Pharynx,TONSIL,Palatine tonsil-Left,#N/A
C09.9.R,C09.9.,75573002,Head Neck,Pharynx,TONSIL,"Tonsil, NOS-Right",#N/A
C09.9.R,C09.9.,75573002,Head Neck,Pharynx,TONSIL,Faucial tonsil-Right,#N/A
C09.9.R,C09.9.,75573002,Head Neck,Pharynx,TONSIL,Palatine tonsil-Right,#N/A
C10.0,C10.0,276955003,Head Neck,Pharynx,OROPHARYNX,Vallecula,Vallecula
C10.0.L,C10.0.,276955003,Head Neck,Pharynx,OROPHARYNX,Vallecula-Left,#N/A
C10.0.R,C10.0.,276955003,Head Neck,Pharynx,OROPHARYNX,Vallecula-Right,#N/A
C10.1,C10.1,67298002,Head Neck,Pharynx,OROPHARYNX,Anterior surface of epiglottis,Anterior surface of epiglottis
C10.2,C10.2,19120004,Head Neck,Pharynx,OROPHARYNX,Lateral wall of oropharynx,Lateral wall of oropharynx
C10.2,C10.2,,Head Neck,Pharynx,OROPHARYNX,Lateral wall of mesopharynx,#N/A
C10.2.L,C10.2.,19120004,Head Neck,Pharynx,OROPHARYNX,Lateral wall of oropharynx-Left,#N/A
C10.2.L,C10.2.,,Head Neck,Pharynx,OROPHARYNX,Lateral wall of mesopharynx-Left,#N/A
C10.2.R,C10.2.,19120004,Head Neck,Pharynx,OROPHARYNX,Lateral wall of oropharynx-Right,#N/A
C10.2.R,C10.2.,,Head Neck,Pharynx,OROPHARYNX,Lateral wall of mesopharynx-Right,#N/A
C10.3,C10.3,12999009,Head Neck,Pharynx,OROPHARYNX,Posterior wall of oropharynx,Posterior wall of oropharynx
C10.3,C10.3,,Head Neck,Pharynx,OROPHARYNX,Posterior wall of mesopharynx,#N/A
C10.4,C10.4,68959004,Head Neck,Pharynx,OROPHARYNX,Branchial cleft,Branchial cleft
C10.4.L,C10.4.,68959004,Head Neck,Pharynx,OROPHARYNX,Branchial cleft-Left,#N/A
C10.4.R,C10.4.,68959004,Head Neck,Pharynx,OROPHARYNX,Branchial cleft-Right,#N/A
C10.8,C10.8,,Head Neck,Pharynx,OROPHARYNX,Overlapping lesion of oropharynx,#N/A
C10.8,C10.8,,Head Neck,Pharynx,OROPHARYNX,Overlapping regions of oropharynx,#N/A
C10.8,C10.8,,Head Neck,Pharynx,OROPHARYNX,Junctional region of oropharynx,#N/A
C10.9,C10.9,31389004,Head Neck,Pharynx,OROPHARYNX,"Oropharynx, NOS",#N/A
C10.9,C10.9,31389004,Head Neck,Pharynx,OROPHARYNX,"Fauces, NOS",#N/A
C10.9,C10.9,31389004,Head Neck,Pharynx,OROPHARYNX,"Mesopharynx, NOS",#N/A
C11.0,C11.0,20409001,Head Neck,Pharynx,NASOPHARYNX,Superior wall of nasopharynx,Superior wall of nasopharynx
C11.0,C11.0,20409001,Head Neck,Pharynx,NASOPHARYNX,Roof of nasopharynx,Roof of nasopharynx
C11.1,C11.1,30157008,Head Neck,Pharynx,NASOPHARYNX,Posterior wall of nasopharynx,Posterior wall of nasopharynx
C11.1,C11.1,55940004,Head Neck,Pharynx,NASOPHARYNX,Adenoid,Adenoid
C11.1,C11.1,55940004,Head Neck,Pharynx,NASOPHARYNX,Pharyngeal tonsil,Pharyngeal tonsil
C11.2,C11.2,70988003,Head Neck,Pharynx,NASOPHARYNX,Lateral wall of nasopharynx,Lateral wall of nasopharynx
C11.2,C11.2,1849007,Head Neck,Pharynx,NASOPHARYNX,Fossa of Rosenmuller,Fossa of Rosenmuller
C11.2.L,C11.2.,70988003,Head Neck,Pharynx,NASOPHARYNX,Lateral wall of nasopharynx-Left,#N/A
C11.2.L,C11.2.,1849007,Head Neck,Pharynx,NASOPHARYNX,Fossa of Rosenmuller-Left,#N/A
C11.2.R,C11.2.,70988003,Head Neck,Pharynx,NASOPHARYNX,Lateral wall of nasopharynx-Right,#N/A
C11.2.R,C11.2.,1849007,Head Neck,Pharynx,NASOPHARYNX,Fossa of Rosenmuller-Right,#N/A
C11.3,C11.3,82521001,Head Neck,Pharynx,NASOPHARYNX,Anterior wall of nasopharynx,Anterior wall of nasopharynx
C11.3,C11.3,244507001,Head Neck,Pharynx,NASOPHARYNX,Choana,Choana
C11.3,C11.3,76786004,Head Neck,Pharynx,NASOPHARYNX,Nasopharyngeal surface of soft palate,Nasopharyngeal surface of soft palate
C11.3,C11.3,54126007,Head Neck,Pharynx,NASOPHARYNX,Pharyngeal fornix,Pharyngeal fornix
C11.3,C11.3,7835005,Head Neck,Pharynx,NASOPHARYNX,Posterior margin of nasal septum,Posterior margin of nasal septum
C11.3.L,C11.3.,244507001,Head Neck,Pharynx,NASOPHARYNX,Choana-Left,#N/A
C11.3.R,C11.3.,244507001,Head Neck,Pharynx,NASOPHARYNX,Choana-Right,#N/A
C11.8,C11.8,,Head Neck,Pharynx,NASOPHARYNX,Overlapping lesion of nasopharynx,#N/A
C11.8,C11.8,,Head Neck,Pharynx,NASOPHARYNX,Overlapping regions of nasopharynx,#N/A
C11.9,C11.9,71836000,Head Neck,Pharynx,NASOPHARYNX,"Nasopharynx, NOS",#N/A
C11.9,C11.9,33539000,Head Neck,Pharynx,NASOPHARYNX,Nasopharyngeal wall,Nasopharyngeal wall
C12.9,C12.9,6217003,Head Neck,Pharynx,PYRIFORM SINUS,Pyriform sinus,Pyriform sinus
C12.9,C12.9,6217003,Head Neck,Pharynx,PYRIFORM SINUS,Piriform fossa,Piriform fossa
C12.9,C12.9,6217003,Head Neck,Pharynx,PYRIFORM SINUS,Piriform sinus,Piriform sinus
C12.9,C12.9,264495005,Head Neck,Pharynx,PYRIFORM SINUS,Pyriform fossa,Pyriform fossa
C12.9.L,C12.9.,6217003,Head Neck,Pharynx,PYRIFORM SINUS,Pyriform sinus-Left,#N/A
C12.9.L,C12.9.,6217003,Head Neck,Pharynx,PYRIFORM SINUS,Piriform fossa-Left,#N/A
C12.9.L,C12.9.,6217003,Head Neck,Pharynx,PYRIFORM SINUS,Piriform sinus-Left,#N/A
C12.9.L,C12.9.,264495005,Head Neck,Pharynx,PYRIFORM SINUS,Pyriform fossa-Left,#N/A
C12.9.R,C12.9.,6217003,Head Neck,Pharynx,PYRIFORM SINUS,Pyriform sinus-Right,#N/A
C12.9.R,C12.9.,6217003,Head Neck,Pharynx,PYRIFORM SINUS,Piriform fossa-Right,#N/A
C12.9.R,C12.9.,6217003,Head Neck,Pharynx,PYRIFORM SINUS,Piriform sinus-Right,#N/A
C12.9.R,C12.9.,264495005,Head Neck,Pharynx,PYRIFORM SINUS,Pyriform fossa-Right,#N/A
C13.0,C13.0,35806005,Head Neck,Pharynx,HYPOPHARYNX,Postcricoid region,Postcricoid region
C13.0,C13.0,,Head Neck,Pharynx,HYPOPHARYNX,"Cricoid, NOS",#N/A
C13.0,C13.0,35806005,Head Neck,Pharynx,HYPOPHARYNX,Cricopharynx,Cricopharynx
